Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Units_Sold,Inventory_Level,Supplier_Lead_Time_Days,Reorder_Point,Order_Quantity,Unit_Cost,Unit_Price,Promotion_Flag,Stockout_Flag,Demand_Forecast,System_Count,Physical_Count,Variance,Accuracy_Flag,Defect_Flag,Shrink_Flag,Severity
2024-01-01,SKU_1,WH_1,SUP_8,West,10,592,14,379,0,13.95,20.48,0,0,8.52,592,592,0,Accurate,0,0,Accurate
2024-01-02,SKU_1,WH_1,SUP_8,West,17,575,14,379,0,13.95,20.48,0,0,18.63,575,575,0,Accurate,0,0,Accurate
2024-01-03,SKU_1,WH_1,SUP_8,North,35,540,14,379,0,13.95,20.48,1,0,39.62,540,540,0,Accurate,0,0,Accurate
2024-01-04,SKU_1,WH_1,SUP_8,South,24,516,14,379,0,13.95,20.48,0,0,19.43,516,516,0,Accurate,0,0,Accurate
2024-01-05,SKU_1,WH_1,SUP_8,West,21,495,14,379,0,13.95,20.48,0,0,18.7,495,495,0,Accurate,0,0,Accurate
2024-01-06,SKU_1,WH_1,SUP_8,East,18,477,14,379,0,13.95,20.48,0,0,18.33,477,477,0,Accurate,0,0,Accurate
2024-01-07,SKU_1,WH_1,SUP_8,North,19,458,14,379,0,13.95,20.48,0,0,18.91,458,458,0,Accurate,0,0,Accurate
2024-01-08,SKU_1,WH_1,SUP_8,North,23,435,14,379,0,13.95,20.48,1,0,25.84,435,435,0,Accurate,0,0,Accurate
2024-01-09,SKU_1,WH_1,SUP_8,West,25,410,14,379,0,13.95,20.48,0,0,21.7,410,410,0,Accurate,0,0,Accurate
2024-01-10,SKU_1,WH_1,SUP_8,South,25,385,14,379,0,13.95,20.48,0,0,21.34,385,385,0,Accurate,0,0,Accurate
2024-01-11,SKU_1,WH_1,SUP_8,North,23,362,14,379,0,13.95,20.48,0,0,18.82,362,371,9,Inaccurate,1,0,Moderate
2024-01-12,SKU_1,WH_1,SUP_8,West,29,803,14,379,470,13.95,20.48,1,0,31.65,803,803,0,Accurate,0,0,Accurate
2024-01-13,SKU_1,WH_1,SUP_8,North,25,778,14,379,0,13.95,20.48,0,0,25.08,778,778,0,Accurate,0,0,Accurate
2024-01-14,SKU_1,WH_1,SUP_8,South,26,752,14,379,0,13.95,20.48,0,0,24.39,752,752,0,Accurate,0,0,Accurate
2024-01-15,SKU_1,WH_1,SUP_8,North,19,733,14,379,0,13.95,20.48,1,0,21.16,733,733,0,Accurate,0,0,Accurate
2024-01-16,SKU_1,WH_1,SUP_8,West,19,714,14,379,0,13.95,20.48,0,0,20.84,714,714,0,Accurate,0,0,Accurate
