Issue,Root_Cause,Action,Priority,Owner
High shrink rate for SKU_42 (3.12%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_20 (3.07%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_38 (3.07%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_33 (3.01%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_1 (2.96%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_48 (2.96%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_50 (2.9%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_46 (2.9%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_30 (2.85%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_2 (2.85%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_47 (2.79%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_21 (2.79%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_9 (2.79%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_28 (2.79%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_5 (2.74%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_49 (2.74%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_32 (2.74%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_14 (2.74%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_27 (2.68%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_36 (2.63%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_6 (2.63%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_16 (2.58%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_26 (2.58%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_31 (2.58%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_41 (2.52%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_22 (2.52%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_7 (2.52%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_8 (2.47%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_18 (2.47%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_12 (2.41%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_3 (2.41%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_17 (2.41%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_29 (2.41%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_39 (2.41%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_15 (2.36%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_10 (2.36%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_25 (2.36%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_4 (2.36%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
High shrink rate for SKU_24 (2.36%),Higher cost SKUs have increased shrink rates,Increase cycle count frequency for this SKU,High,ICQA Lead
