SKU_ID,Total_Anomalies,Out_Of_Stock_Events,Defect_Count,Avg_Accuracy
SKU_1,50,92,67,50.7110731762615
SKU_10,62,100,65,45.8270959625676
SKU_11,59,94,51,46.434286156884426
SKU_12,56,97,74,46.104543114646546
SKU_13,50,93,56,45.3713823825653
SKU_14,60,105,58,46.9037586751285
SKU_15,57,95,72,45.6295137611276
SKU_16,51,93,58,52.105888732054325
SKU_17,51,98,61,51.57769317585898
SKU_18,61,94,67,45.82876002174814
SKU_19,53,93,71,46.92806137268037
SKU_2,52,95,63,45.2647918814345
SKU_20,60,103,72,48.40646283925283
SKU_21,53,96,72,47.94627855288622
SKU_22,53,99,67,46.18242661341074
SKU_23,54,97,60,45.58393749138787
SKU_24,69,95,58,45.10302556287156
SKU_25,50,92,61,45.545319815473086
SKU_26,61,96,70,46.554926648911206
SKU_27,62,92,69,45.08547965727318
SKU_28,55,97,69,46.25693973126024
SKU_29,47,92,65,42.42687096575718
SKU_3,59,98,57,43.20633405761624
SKU_30,49,93,71,41.92993453781125
SKU_31,45,93,66,41.365054188799334
SKU_32,52,96,66,44.252857324563195
SKU_33,52,95,75,45.548416364778035
SKU_34,56,93,50,41.78215122623165
SKU_35,61,96,73,41.83098799307412
SKU_36,48,97,67,45.03607804925995
SKU_37,57,101,59,46.537814818446655
SKU_38,63,98,78,45.81333502533156
SKU_39,53,98,60,50.35597889687496
SKU_4,57,96,60,45.6253245349195
SKU_40,54,91,65,44.49975031212514
SKU_41,77,93,63,50.14024393991247
SKU_42,81,97,69,48.57851229626761
SKU_43,65,94,60,49.010778929891856
SKU_44,48,94,62,39.97713313079525
SKU_45,55,97,56,42.71859525178678
SKU_46,52,95,71,47.59394807808978
SKU_47,77,90,75,48.73786087439254
SKU_48,50,94,76,47.20114269292351
SKU_49,55,97,65,43.36083086998478
SKU_5,62,98,79,46.49784680742702
SKU_50,56,99,78,39.55615793169334
SKU_6,63,96,66,44.99214032380656
SKU_7,52,95,65,48.99611672766397
SKU_8,60,98,61,45.635713238775004
SKU_9,56,97,73,50.118414089629226
