YearMonth,Avg_Accuracy,Inventory_Accuracy,Out_Of_Stock_Rate,Defect_Count,Shrink_Events,Avg_Variance,Total_Units_Sold,Total_Shrink_Value
2024-01,36.52,95.34,3.99,278,180,0.49,176681,22128.35
2024-02,48.37,95.43,7.52,240,168,0.45,197188,21286.6
2024-03,48.61,95.06,8.05,277,203,0.5,231596,26658.81
2024-04,49.68,95.05,8.28,276,188,0.52,223793,23719.76
2024-05,48.69,94.49,7.47,313,219,0.56,210841,26802.06
2024-06,48.47,95.25,6.39,265,176,0.5,170013,23744.95
2024-07,47.12,95.61,4.71,250,179,0.46,134915,23018.03
2024-08,44.04,95.29,3.23,273,184,0.49,99019,24467.16
2024-09,45.02,95.03,2.61,283,188,0.53,76304,25959.02
2024-10,44.43,95.07,2.66,297,209,0.53,79599,28299.48
2024-11,44.85,94.95,3.56,270,220,0.51,98105,27553.02
2024-12,46.17,95.07,4.61,270,192,0.49,131925,22817.51
