SKU_ID,Total_Records,Defect_Count,Defect_Rate,Shrink_Events,Shrink_Rate,Avg_Abs_Variance,Mismatch_Count,Accuracy,Avg_Row_Accuracy,Total_Shrink_Value
SKU_5,1825,79,4.33,50,2.74,0.59,96,94.74,46.5,5431.5
SKU_50,1825,78,4.27,53,2.9,0.6,106,94.19,39.56,7455.66
SKU_38,1825,78,4.27,56,3.07,0.61,106,94.19,45.81,11743.8
SKU_48,1825,76,4.16,54,2.96,0.56,99,94.58,47.2,8025.6
SKU_47,1825,75,4.11,51,2.79,0.57,98,94.63,48.74,5034.7
SKU_33,1825,75,4.11,55,3.01,0.6,101,94.47,45.55,7286.24
SKU_12,1825,74,4.05,44,2.41,0.54,96,94.74,46.1,5078.79
SKU_9,1825,73,4.0,51,2.79,0.59,100,94.52,50.12,6681.13
SKU_35,1825,73,4.0,40,2.19,0.53,88,95.18,41.83,4860.97
SKU_21,1825,72,3.95,51,2.79,0.53,97,94.68,47.95,6155.64
SKU_20,1825,72,3.95,56,3.07,0.56,94,94.85,48.41,8110.03
SKU_15,1825,72,3.95,43,2.36,0.54,92,94.96,45.63,6428.41
SKU_46,1825,71,3.89,53,2.9,0.52,92,94.96,47.59,7879.42
SKU_30,1825,71,3.89,52,2.85,0.57,98,94.63,41.93,6007.92
SKU_19,1825,71,3.89,40,2.19,0.51,89,95.12,46.93,5103.54
SKU_26,1825,70,3.84,47,2.58,0.53,95,94.79,46.55,5979.4
SKU_42,1825,69,3.78,57,3.12,0.55,97,94.68,48.58,5818.04
SKU_28,1825,69,3.78,51,2.79,0.52,95,94.79,46.26,5590.24
SKU_27,1825,69,3.78,49,2.68,0.54,95,94.79,45.09,6599.87
SKU_36,1825,67,3.67,48,2.63,0.53,93,94.9,45.04,4918.66
SKU_22,1825,67,3.67,46,2.52,0.48,99,94.58,46.18,6266.32
SKU_18,1825,67,3.67,45,2.47,0.45,86,95.29,45.83,5255.9
SKU_1,1825,67,3.67,54,2.96,0.52,92,94.96,50.71,6730.41
SKU_6,1825,66,3.62,48,2.63,0.53,93,94.9,44.99,6302.41
SKU_32,1825,66,3.62,50,2.74,0.48,86,95.29,44.25,6440.68
SKU_31,1825,66,3.62,47,2.58,0.47,88,95.18,41.37,6734.24
SKU_7,1825,65,3.56,46,2.52,0.53,85,95.34,49.0,4996.05
SKU_49,1825,65,3.56,50,2.74,0.47,84,95.4,43.36,5314.5
SKU_40,1825,65,3.56,38,2.08,0.51,83,95.45,44.5,7199.65
SKU_29,1825,65,3.56,44,2.41,0.52,89,95.12,42.43,7178.39
SKU_10,1825,65,3.56,43,2.36,0.51,84,95.4,45.83,6837.58
SKU_41,1825,63,3.45,46,2.52,0.49,87,95.23,50.14,4266.88
SKU_2,1825,63,3.45,52,2.85,0.5,84,95.4,45.26,7772.17
SKU_44,1825,62,3.4,39,2.14,0.44,80,95.62,39.98,3338.96
SKU_8,1825,61,3.34,45,2.47,0.49,98,94.63,45.64,5538.71
SKU_25,1825,61,3.34,43,2.36,0.46,82,95.51,45.55,3944.29
SKU_17,1825,61,3.34,44,2.41,0.49,89,95.12,51.58,6699.87
SKU_43,1825,60,3.29,36,1.97,0.46,74,95.95,49.01,5122.17
SKU_4,1825,60,3.29,43,2.36,0.45,79,95.67,45.63,5868.76
SKU_39,1825,60,3.29,44,2.41,0.46,84,95.4,50.36,5277.14
SKU_23,1825,60,3.29,39,2.14,0.47,86,95.29,45.58,5471.85
SKU_37,1825,59,3.23,31,1.7,0.45,76,95.84,46.54,4385.99
SKU_24,1825,58,3.18,43,2.36,0.45,78,95.73,45.1,4641.02
SKU_16,1825,58,3.18,47,2.58,0.46,79,95.67,52.11,6517.69
SKU_14,1825,58,3.18,50,2.74,0.43,87,95.23,46.9,4749.2
SKU_3,1825,57,3.12,44,2.41,0.44,82,95.51,43.21,4128.97
SKU_45,1825,56,3.07,33,1.81,0.44,75,95.89,42.72,3769.51
SKU_13,1825,56,3.07,40,2.19,0.43,72,96.05,45.37,6325.43
SKU_11,1825,51,2.79,37,2.03,0.41,75,95.89,46.43,5982.79
SKU_34,1825,50,2.74,38,2.08,0.39,75,95.89,41.78,3207.66
