Supplier_ID,Avg_Lead_Time,Max_Lead_Time,Min_Lead_Time,Defect_Count,Defect_Rate,Avg_Accuracy,Avg_Abs_Variance,Total_Records
SUP_4,8.64,14,3,312,3.42,46.11,0.48,9125
SUP_8,8.5,14,2,398,3.89,46.67,0.54,10220
SUP_2,8.42,14,2,334,3.52,45.29,0.49,9490
SUP_3,8.26,14,2,265,3.16,44.37,0.44,8395
SUP_9,8.19,14,2,216,3.7,44.67,0.51,5840
SUP_1,8.11,14,3,384,3.76,45.26,0.51,10220
SUP_6,7.9,14,2,249,3.41,46.4,0.48,7300
SUP_7,7.56,14,2,476,3.84,48.33,0.55,12410
SUP_10,7.41,14,2,352,3.57,46.16,0.5,9855
SUP_5,6.96,13,2,306,3.65,45.05,0.49,8395
