SKU_ID,Warehouse_ID,Supplier_ID,Records,Defect_Count,Defect_Rate,Avg_Abs_Variance,Shrink_Events,Total_Shrink_Value,Avg_Lead_Time
SKU_12,WH_5,SUP_8,365,23,6.3,0.74,13,1347.72,6.0
SKU_17,WH_1,SUP_1,365,23,6.3,0.86,14,2980.0,10.0
SKU_48,WH_5,SUP_9,365,23,6.3,0.83,13,1159.95,11.0
SKU_38,WH_5,SUP_5,365,21,5.75,0.81,11,3088.0,13.0
SKU_50,WH_3,SUP_8,365,21,5.75,0.85,17,3611.79,11.0
SKU_33,WH_4,SUP_8,365,20,5.48,0.76,13,1362.69,3.0
SKU_40,WH_5,SUP_7,365,20,5.48,0.79,9,2389.48,8.0
SKU_50,WH_2,SUP_2,365,20,5.48,0.63,11,1122.7,3.0
SKU_18,WH_2,SUP_3,365,19,5.21,0.66,9,1786.02,10.0
SKU_28,WH_5,SUP_7,365,19,5.21,0.73,8,1343.16,12.0
SKU_33,WH_1,SUP_9,365,19,5.21,0.71,15,909.93,9.0
SKU_39,WH_3,SUP_4,365,19,5.21,0.68,10,1622.4,4.0
SKU_47,WH_4,SUP_1,365,19,5.21,0.67,9,1172.13,5.0
SKU_7,WH_1,SUP_5,365,19,5.21,0.75,13,1754.08,3.0
SKU_9,WH_2,SUP_9,365,19,5.21,0.73,11,2790.0,12.0
SKU_20,WH_2,SUP_2,365,18,4.93,0.69,13,2105.01,9.0
SKU_21,WH_4,SUP_2,365,18,4.93,0.66,17,1821.6,8.0
SKU_30,WH_4,SUP_6,365,18,4.93,0.7,12,2448.72,7.0
SKU_31,WH_5,SUP_5,365,18,4.93,0.62,10,739.68,4.0
SKU_35,WH_4,SUP_7,365,18,4.93,0.62,10,625.24,2.0
