Week,Records,Inventory_Accuracy,Defect_Count,Avg_Variance,Out_Of_Stock_Risk_Count
1,2000,95.6,65,0.45,18
2,1750,94.74,73,0.56,56
3,1750,95.2,62,0.48,70
4,1750,95.37,65,0.52,119
5,1750,94.86,63,0.48,125
6,1750,95.26,61,0.47,129
7,1750,95.54,61,0.49,133
8,1750,96.23,46,0.34,122
9,1750,95.37,55,0.46,145
10,1750,94.86,69,0.56,135
11,1750,95.66,56,0.45,142
12,1750,95.26,60,0.49,151
13,1750,94.34,68,0.52,147
14,1750,94.46,67,0.55,146
15,1750,94.86,65,0.56,138
16,1750,95.09,63,0.53,166
17,1750,95.49,65,0.5,132
18,1750,94.8,61,0.48,139
19,1750,94.11,76,0.62,136
20,1750,94.23,75,0.62,137
21,1750,95.2,69,0.53,121
22,1750,94.46,71,0.55,127
23,1750,95.66,62,0.5,121
24,1750,95.09,62,0.51,112
25,1750,95.37,57,0.47,111
26,1750,95.26,61,0.47,93
27,1750,96.17,49,0.41,86
28,1750,95.49,59,0.49,90
29,1750,95.54,65,0.49,73
30,1750,95.54,53,0.45,80
31,1750,95.49,59,0.48,71
32,1750,95.09,63,0.51,63
33,1750,95.09,62,0.48,49
34,1750,94.91,64,0.51,59
35,1750,95.6,59,0.47,61
36,1750,95.6,59,0.47,39
37,1750,95.6,56,0.47,31
38,1750,94.57,72,0.6,53
39,1750,94.51,75,0.58,51
40,1750,95.03,64,0.52,40
41,1750,95.14,66,0.5,54
42,1750,95.89,61,0.46,50
43,1750,95.03,69,0.53,40
44,1750,94.34,75,0.63,47
45,1750,94.51,67,0.54,67
46,1750,94.17,73,0.58,51
47,1750,95.26,63,0.52,70
48,1750,95.54,51,0.4,65
49,1750,96.23,53,0.4,71
50,1750,93.89,80,0.6,84
51,1750,94.97,62,0.51,85
52,1750,95.49,55,0.41,86
