Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Inventory_Level,System_Count,Physical_Count,Variance,Defect_Flag,Shrink_Flag,Accuracy_Flag,Severity,Supplier_Lead_Time_Days,Reorder_Point,Units_Sold,Order_Quantity,Unit_Cost,Unit_Price,Demand_Forecast,Promotion_Flag,YearMonth,Week,Quarter
2024-01-01,SKU_1,WH_1,SUP_8,West,592,592,592,0,0,0,Accurate,Accurate,14,379,10,0,13.95,20.48,8.52,0,2024-01,1,1
2024-01-02,SKU_1,WH_1,SUP_8,West,575,575,575,0,0,0,Accurate,Accurate,14,379,17,0,13.95,20.48,18.63,0,2024-01,1,1
2024-01-03,SKU_1,WH_1,SUP_8,North,540,540,540,0,0,0,Accurate,Accurate,14,379,35,0,13.95,20.48,39.62,1,2024-01,1,1
2024-01-04,SKU_1,WH_1,SUP_8,South,516,516,516,0,0,0,Accurate,Accurate,14,379,24,0,13.95,20.48,19.43,0,2024-01,1,1
2024-01-05,SKU_1,WH_1,SUP_8,West,495,495,495,0,0,0,Accurate,Accurate,14,379,21,0,13.95,20.48,18.7,0,2024-01,1,1
2024-01-06,SKU_1,WH_1,SUP_8,East,477,477,477,0,0,0,Accurate,Accurate,14,379,18,0,13.95,20.48,18.33,0,2024-01,1,1
2024-01-07,SKU_1,WH_1,SUP_8,North,458,458,458,0,0,0,Accurate,Accurate,14,379,19,0,13.95,20.48,18.91,0,2024-01,1,1
2024-01-08,SKU_1,WH_1,SUP_8,North,435,435,435,0,0,0,Accurate,Accurate,14,379,23,0,13.95,20.48,25.84,1,2024-01,2,1
2024-01-09,SKU_1,WH_1,SUP_8,West,410,410,410,0,0,0,Accurate,Accurate,14,379,25,0,13.95,20.48,21.7,0,2024-01,2,1
2024-01-10,SKU_1,WH_1,SUP_8,South,385,385,385,0,0,0,Accurate,Accurate,14,379,25,0,13.95,20.48,21.34,0,2024-01,2,1
2024-01-11,SKU_1,WH_1,SUP_8,North,362,362,371,9,1,0,Inaccurate,Moderate,14,379,23,0,13.95,20.48,18.82,0,2024-01,2,1
2024-01-12,SKU_1,WH_1,SUP_8,West,803,803,803,0,0,0,Accurate,Accurate,14,379,29,470,13.95,20.48,31.65,1,2024-01,2,1
2024-01-13,SKU_1,WH_1,SUP_8,North,778,778,778,0,0,0,Accurate,Accurate,14,379,25,0,13.95,20.48,25.08,0,2024-01,2,1
2024-01-14,SKU_1,WH_1,SUP_8,South,752,752,752,0,0,0,Accurate,Accurate,14,379,26,0,13.95,20.48,24.39,0,2024-01,2,1
2024-01-15,SKU_1,WH_1,SUP_8,North,733,733,733,0,0,0,Accurate,Accurate,14,379,19,0,13.95,20.48,21.16,1,2024-01,3,1
2024-01-16,SKU_1,WH_1,SUP_8,West,714,714,714,0,0,0,Accurate,Accurate,14,379,19,0,13.95,20.48,20.84,0,2024-01,3,1
2024-01-17,SKU_1,WH_1,SUP_8,East,688,688,688,0,0,0,Accurate,Accurate,14,379,26,0,13.95,20.48,23.28,0,2024-01,3,1
2024-01-18,SKU_1,WH_1,SUP_8,North,666,666,666,0,0,0,Accurate,Accurate,14,379,22,0,13.95,20.48,20.13,0,2024-01,3,1
2024-01-19,SKU_1,WH_1,SUP_8,North,638,638,638,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,31.49,1,2024-01,3,1
2024-01-20,SKU_1,WH_1,SUP_8,East,621,621,621,0,0,0,Accurate,Accurate,14,379,17,0,13.95,20.48,13.41,0,2024-01,3,1
2024-01-21,SKU_1,WH_1,SUP_8,East,596,596,596,0,0,0,Accurate,Accurate,14,379,25,0,13.95,20.48,19.95,0,2024-01,3,1
2024-01-22,SKU_1,WH_1,SUP_8,South,568,568,568,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,30.39,0,2024-01,4,1
2024-01-23,SKU_1,WH_1,SUP_8,West,548,548,548,0,0,0,Accurate,Accurate,14,379,20,0,13.95,20.48,21.0,0,2024-01,4,1
2024-01-24,SKU_1,WH_1,SUP_8,West,524,524,524,0,0,0,Accurate,Accurate,14,379,24,0,13.95,20.48,23.1,0,2024-01,4,1
2024-01-25,SKU_1,WH_1,SUP_8,East,504,504,504,0,0,0,Accurate,Accurate,14,379,20,0,13.95,20.48,21.27,0,2024-01,4,1
2024-01-26,SKU_1,WH_1,SUP_8,West,484,484,484,0,0,0,Accurate,Accurate,14,379,20,0,13.95,20.48,22.23,0,2024-01,4,1
2024-01-27,SKU_1,WH_1,SUP_8,South,456,456,456,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,29.08,0,2024-01,4,1
2024-01-28,SKU_1,WH_1,SUP_8,West,427,427,427,0,0,0,Accurate,Accurate,14,379,29,0,13.95,20.48,29.99,0,2024-01,4,1
2024-01-29,SKU_1,WH_1,SUP_8,West,398,398,398,0,0,0,Accurate,Accurate,14,379,29,0,13.95,20.48,28.37,0,2024-01,5,1
2024-01-30,SKU_1,WH_1,SUP_8,North,375,375,356,-19,1,1,Inaccurate,Critical,14,379,23,0,13.95,20.48,25.02,0,2024-01,5,1
2024-01-31,SKU_1,WH_1,SUP_8,West,754,754,754,0,0,0,Accurate,Accurate,14,379,18,397,13.95,20.48,14.94,0,2024-01,5,1
2024-02-01,SKU_1,WH_1,SUP_8,South,720,720,720,0,0,0,Accurate,Accurate,14,379,34,0,13.95,20.48,33.54,0,2024-02,5,1
2024-02-02,SKU_1,WH_1,SUP_8,West,696,696,696,0,0,0,Accurate,Accurate,14,379,24,0,13.95,20.48,25.21,0,2024-02,5,1
2024-02-03,SKU_1,WH_1,SUP_8,South,674,674,674,0,0,0,Accurate,Accurate,14,379,22,0,13.95,20.48,21.56,0,2024-02,5,1
2024-02-04,SKU_1,WH_1,SUP_8,North,642,642,642,0,0,0,Accurate,Accurate,14,379,32,0,13.95,20.48,26.98,1,2024-02,5,1
2024-02-05,SKU_1,WH_1,SUP_8,East,617,617,617,0,0,0,Accurate,Accurate,14,379,25,0,13.95,20.48,26.03,0,2024-02,6,1
2024-02-06,SKU_1,WH_1,SUP_8,South,593,593,593,0,0,0,Accurate,Accurate,14,379,24,0,13.95,20.48,24.9,0,2024-02,6,1
2024-02-07,SKU_1,WH_1,SUP_8,East,558,558,558,0,0,0,Accurate,Accurate,14,379,35,0,13.95,20.48,29.18,0,2024-02,6,1
2024-02-08,SKU_1,WH_1,SUP_8,East,536,536,536,0,0,0,Accurate,Accurate,14,379,22,0,13.95,20.48,24.32,0,2024-02,6,1
2024-02-09,SKU_1,WH_1,SUP_8,South,508,508,508,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,27.93,0,2024-02,6,1
2024-02-10,SKU_1,WH_1,SUP_8,North,487,487,487,0,0,0,Accurate,Accurate,14,379,21,0,13.95,20.48,19.3,0,2024-02,6,1
2024-02-11,SKU_1,WH_1,SUP_8,South,466,466,466,0,0,0,Accurate,Accurate,14,379,21,0,13.95,20.48,18.95,0,2024-02,6,1
2024-02-12,SKU_1,WH_1,SUP_8,West,437,437,444,7,1,0,Inaccurate,Moderate,14,379,29,0,13.95,20.48,25.33,0,2024-02,7,1
2024-02-13,SKU_1,WH_1,SUP_8,West,400,400,400,0,0,0,Accurate,Accurate,14,379,37,0,13.95,20.48,29.59,1,2024-02,7,1
2024-02-14,SKU_1,WH_1,SUP_8,East,377,377,377,0,0,0,Accurate,Accurate,14,379,23,0,13.95,20.48,22.03,0,2024-02,7,1
2024-02-15,SKU_1,WH_1,SUP_8,South,699,699,699,0,0,0,Accurate,Accurate,14,379,21,343,13.95,20.48,23.22,0,2024-02,7,1
2024-02-16,SKU_1,WH_1,SUP_8,North,676,676,676,0,0,0,Accurate,Accurate,14,379,23,0,13.95,20.48,23.36,1,2024-02,7,1
2024-02-17,SKU_1,WH_1,SUP_8,East,656,656,656,0,0,0,Accurate,Accurate,14,379,20,0,13.95,20.48,23.57,0,2024-02,7,1
2024-02-18,SKU_1,WH_1,SUP_8,South,628,628,628,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,28.32,0,2024-02,7,1
2024-02-19,SKU_1,WH_1,SUP_8,West,604,604,604,0,0,0,Accurate,Accurate,14,379,24,0,13.95,20.48,24.7,0,2024-02,8,1
2024-02-20,SKU_1,WH_1,SUP_8,West,573,573,573,0,0,0,Accurate,Accurate,14,379,31,0,13.95,20.48,36.37,0,2024-02,8,1
2024-02-21,SKU_1,WH_1,SUP_8,South,545,545,545,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,24.35,0,2024-02,8,1
2024-02-22,SKU_1,WH_1,SUP_8,West,518,518,518,0,0,0,Accurate,Accurate,14,379,27,0,13.95,20.48,25.85,0,2024-02,8,1
2024-02-23,SKU_1,WH_1,SUP_8,North,486,486,486,0,0,0,Accurate,Accurate,14,379,32,0,13.95,20.48,33.24,0,2024-02,8,1
2024-02-24,SKU_1,WH_1,SUP_8,South,455,455,455,0,0,0,Accurate,Accurate,14,379,31,0,13.95,20.48,40.18,0,2024-02,8,1
2024-02-25,SKU_1,WH_1,SUP_8,East,423,423,423,0,0,0,Accurate,Accurate,14,379,32,0,13.95,20.48,31.28,0,2024-02,8,1
2024-02-26,SKU_1,WH_1,SUP_8,East,389,389,389,0,0,0,Accurate,Accurate,14,379,34,0,13.95,20.48,29.97,0,2024-02,9,1
2024-02-27,SKU_1,WH_1,SUP_8,East,358,358,358,0,0,0,Accurate,Accurate,14,379,31,0,13.95,20.48,28.43,0,2024-02,9,1
2024-02-28,SKU_1,WH_1,SUP_8,North,575,575,555,-20,1,1,Inaccurate,Critical,14,379,28,245,13.95,20.48,28.57,0,2024-02,9,1
2024-02-29,SKU_1,WH_1,SUP_8,East,544,544,544,0,0,0,Accurate,Accurate,14,379,31,0,13.95,20.48,25.17,0,2024-02,9,1
2024-03-01,SKU_1,WH_1,SUP_8,North,511,511,511,0,0,0,Accurate,Accurate,14,379,33,0,13.95,20.48,35.33,1,2024-03,9,1
2024-03-02,SKU_1,WH_1,SUP_8,South,483,483,483,0,0,0,Accurate,Accurate,14,379,28,0,13.95,20.48,22.75,0,2024-03,9,1
2024-03-03,SKU_1,WH_1,SUP_8,West,454,454,454,0,0,0,Accurate,Accurate,14,379,29,0,13.95,20.48,30.16,0,2024-03,9,1
2024-03-04,SKU_1,WH_1,SUP_8,East,422,422,422,0,0,0,Accurate,Accurate,14,379,32,0,13.95,20.48,28.76,0,2024-03,10,1
2024-03-05,SKU_1,WH_1,SUP_8,North,388,388,388,0,0,0,Accurate,Accurate,14,379,34,0,13.95,20.48,34.15,0,2024-03,10,1
2024-03-06,SKU_1,WH_1,SUP_8,East,357,357,357,0,0,0,Accurate,Accurate,14,379,31,0,13.95,20.48,28.82,0,2024-03,10,1
2024-03-07,SKU_1,WH_1,SUP_8,West,538,538,538,0,0,0,Accurate,Accurate,14,379,31,212,13.95,20.48,32.54,0,2024-03,10,1
2024-03-08,SKU_1,WH_1,SUP_8,North,502,502,502,0,0,0,Accurate,Accurate,14,379,36,0,13.95,20.48,36.02,0,2024-03,10,1
2024-03-09,SKU_1,WH_1,SUP_8,East,476,476,476,0,0,0,Accurate,Accurate,14,379,26,0,13.95,20.48,25.62,0,2024-03,10,1
2024-03-10,SKU_1,WH_1,SUP_8,East,451,451,451,0,0,0,Accurate,Accurate,14,379,25,0,13.95,20.48,24.29,0,2024-03,10,1
2024-03-11,SKU_1,WH_1,SUP_8,South,427,427,427,0,0,0,Accurate,Accurate,14,379,24,0,13.95,20.48,22.63,0,2024-03,11,1
2024-03-12,SKU_1,WH_1,SUP_8,West,400,400,400,0,0,0,Accurate,Accurate,14,379,27,0,13.95,20.48,27.24,0,2024-03,11,1
2024-03-13,SKU_1,WH_1,SUP_8,North,369,369,387,18,1,0,Inaccurate,Critical,14,379,31,0,13.95,20.48,25.36,0,2024-03,11,1
2024-03-14,SKU_1,WH_1,SUP_8,East,548,548,548,0,0,0,Accurate,Accurate,14,379,25,204,13.95,20.48,27.04,0,2024-03,11,1
2024-03-15,SKU_1,WH_1,SUP_8,East,519,519,519,0,0,0,Accurate,Accurate,14,379,29,0,13.95,20.48,27.05,0,2024-03,11,1
2024-03-16,SKU_1,WH_1,SUP_8,East,490,490,490,0,0,0,Accurate,Accurate,14,379,29,0,13.95,20.48,27.54,0,2024-03,11,1
2024-03-17,SKU_1,WH_1,SUP_8,South,465,465,465,0,0,0,Accurate,Accurate,14,379,25,0,13.95,20.48,29.98,0,2024-03,11,1
2024-03-18,SKU_1,WH_1,SUP_8,South,438,438,438,0,0,0,Accurate,Accurate,14,379,27,0,13.95,20.48,25.97,1,2024-03,12,1
2024-03-19,SKU_1,WH_1,SUP_8,West,415,415,415,0,0,0,Accurate,Accurate,14,379,23,0,13.95,20.48,25.75,0,2024-03,12,1
2024-03-20,SKU_1,WH_1,SUP_8,North,390,390,390,0,0,0,Accurate,Accurate,14,379,25,0,13.95,20.48,30.77,0,2024-03,12,1
