YearMonth,Avg_Inventory_Level,Total_Units_Sold,Defect_Count,Defect_Rate_Pct,Accuracy_Pct,Shrink_Events,Total_Shrink_Value
2024-01,527.5,176681,278,3.59,95.34,180,22128.35
2024-02,459.9,197188,240,3.31,95.43,168,21286.6
2024-03,459.1,231596,277,3.57,95.06,203,26658.81
2024-04,454.4,223793,276,3.68,95.05,188,23719.76
2024-05,459.1,210841,313,4.04,94.49,219,26802.06
2024-06,460.5,170013,265,3.53,95.25,176,23744.95
2024-07,466.5,134915,250,3.23,95.61,179,23018.03
2024-08,477.5,99019,273,3.52,95.29,184,24467.16
2024-09,472.3,76304,283,3.77,95.03,188,25959.02
2024-10,475.7,79599,297,3.83,95.07,209,28299.48
2024-11,474.3,98105,270,3.6,94.95,220,27553.02
2024-12,469.9,131925,270,3.6,95.07,192,22817.51
