SKU_ID,Avg_Inventory,Avg_Units_Sold,Defect_Rate_Pct,Accuracy_Pct,Avg_Variance,Total_Shrink_Value,Avg_Unit_Cost,Avg_Gross_Margin
SKU_1,514.7,20.29,3.67,94.96,0.52,6730.41,11.56,5.1
SKU_10,459.2,20.04,3.56,95.4,0.51,6837.58,13.77,6.07
SKU_11,500.1,19.92,2.79,95.89,0.41,5982.79,15.29,9.17
SKU_12,466.4,20.16,4.05,94.74,0.54,5078.79,11.76,4.06
SKU_13,485.8,20.23,3.07,96.05,0.43,6325.43,14.4,5.08
SKU_14,445.8,20.05,3.18,95.23,0.43,4749.2,9.97,3.49
SKU_15,467.3,19.94,3.95,94.96,0.54,6428.41,12.66,7.04
SKU_16,520.8,20.0,3.18,95.67,0.46,6517.69,12.58,5.83
SKU_17,490.6,19.97,3.34,95.12,0.49,6699.87,12.95,7.13
SKU_18,463.7,20.4,3.67,95.29,0.45,5255.9,12.07,5.27
SKU_19,477.6,19.87,3.89,95.12,0.51,5103.54,12.1,6.4
SKU_2,471.3,19.99,3.45,95.4,0.5,7772.17,12.72,7.74
SKU_20,470.5,20.13,3.95,94.85,0.56,8110.03,12.74,7.98
SKU_21,483.7,19.95,3.95,94.68,0.53,6155.64,11.87,5.61
SKU_22,457.4,20.08,3.67,94.58,0.48,6266.32,14.54,7.09
SKU_23,459.5,20.11,3.29,95.29,0.47,5471.85,13.73,5.6
SKU_24,468.0,19.93,3.18,95.73,0.45,4641.02,10.16,5.71
SKU_25,467.8,20.05,3.34,95.51,0.46,3944.29,9.26,4.5
SKU_26,485.1,19.94,3.84,94.79,0.53,5979.4,12.05,5.09
SKU_27,490.9,19.96,3.78,94.79,0.54,6599.87,12.62,5.64
SKU_28,481.1,19.99,3.78,94.79,0.52,5590.24,11.27,4.54
SKU_29,453.5,20.13,3.56,95.12,0.52,7178.39,14.21,4.78
SKU_3,443.6,20.16,3.12,95.51,0.44,4128.97,11.28,6.9
SKU_30,437.9,20.03,3.89,94.63,0.57,6007.92,11.02,5.94
SKU_31,465.2,20.13,3.62,95.18,0.47,6734.24,14.81,7.7
SKU_32,466.0,20.08,3.62,95.29,0.48,6440.68,14.17,4.24
SKU_33,481.9,20.28,4.11,94.47,0.6,7286.24,11.91,6.32
SKU_34,446.0,20.02,2.74,95.89,0.39,3207.66,7.86,4.56
SKU_35,437.3,19.97,4.0,95.18,0.53,4860.97,11.46,6.17
SKU_36,465.5,20.05,3.67,94.9,0.53,4918.66,10.27,6.28
SKU_37,465.1,20.13,3.23,95.84,0.45,4385.99,13.45,7.62
SKU_38,477.4,20.13,4.27,94.19,0.61,11743.8,18.75,10.04
SKU_39,499.7,20.05,3.29,95.4,0.46,5277.14,11.37,7.38
SKU_4,470.6,20.17,3.29,95.67,0.45,5868.76,13.72,7.2
SKU_40,472.6,19.97,3.56,95.45,0.51,7199.65,15.63,9.73
SKU_41,524.0,20.02,3.45,95.23,0.49,4266.88,9.53,4.8
SKU_42,485.3,20.08,3.78,94.68,0.55,5818.04,10.16,4.68
SKU_43,498.2,20.02,3.29,95.95,0.46,5122.17,12.09,5.53
SKU_44,430.6,20.1,3.4,95.62,0.44,3338.96,7.56,4.2
SKU_45,440.8,19.92,3.07,95.89,0.44,3769.51,11.45,4.4
SKU_46,466.4,19.87,3.89,94.96,0.52,7879.42,14.55,7.21
SKU_47,514.7,20.23,4.11,94.63,0.57,5034.7,9.61,5.0
SKU_48,484.0,20.05,4.16,94.58,0.56,8025.6,15.19,7.95
SKU_49,447.7,19.99,3.56,95.4,0.47,5314.5,10.62,4.6
SKU_5,457.4,19.98,4.33,94.74,0.59,5431.5,10.34,5.86
SKU_50,408.5,20.06,4.27,94.19,0.6,7455.66,12.0,5.26
SKU_6,455.9,19.84,3.62,94.9,0.53,6302.41,12.08,7.19
SKU_7,494.6,19.98,3.56,95.34,0.53,4996.05,10.87,5.62
SKU_8,471.2,20.11,3.34,94.63,0.49,5538.71,13.13,6.5
SKU_9,487.5,20.19,4.0,94.52,0.59,6681.13,10.99,5.11
